Мандант;Роль;ИмяПользоват;Начальная дата;Конечная дата;Исключая;Дата;Время;Метка UTC-времени в краткой форме (ГГГГМ;Присвоение из орг. менеджмента HR;Присвоение из групповой роли
400;ZGBI014_2D00_FIREP;XDOZMA02;25.12.2017;31.12.9999;;25.12.2017;12:36:13;0;;
400;ZGBI014_2D00_FIREP;XOAYY;25.12.2017;31.12.9999;;25.12.2017;12:36:19;0;;
400;ZGBI014_2D00_FIREP;XOKSS;25.12.2017;31.12.9999;;25.12.2017;12:36:20;0;;
400;ZGBI015_2D00_LDADM_ASKO;XDOONY;30.05.2018;31.12.9999;;30.05.2018;15:38:28;0;;
400;ZGBI015_2D00_LDADM_ASKO;XDOYEI;30.05.2018;31.12.9999;;30.05.2018;15:38:46;0;;
400;ZGBI024_2D00_FMREP;XDOAAP02;25.12.2017;31.12.9999;;27.12.2017;18:48:04;0;;
400;ZGBI024_2D00_FMREP;XDOAIV09;30.05.2018;31.12.9999;;30.05.2018;15:32:59;0;;
400;ZGBI024_2D00_FMREP;XDOALA04;25.12.2017;31.12.9999;;25.12.2017;12:28:23;0;;
400;ZGBI024_2D00_FMREP;XDOBAS08;25.12.2017;31.12.9999;;25.12.2017;12:28:42;0;;
400;ZGBI024_2D00_FMREP;XDOBAV27;25.12.2017;31.12.9999;;25.12.2017;12:28:42;0;;
400;ZGBI024_2D00_FMREP;XDOBAV28;25.12.2017;31.12.9999;;25.12.2017;12:28:43;0;;
400;ZGBI024_2D00_FMREP;XDOBEV13;25.12.2017;31.12.9999;;25.12.2017;12:28:50;0;;
400;ZGBI024_2D00_FMREP;XDOBEV14;25.12.2017;31.12.9999;;25.12.2017;12:28:51;0;;
400;ZGBI024_2D00_FMREP;XDOBIN03;25.12.2017;31.12.9999;;25.12.2017;12:28:58;0;;
400;ZGBI024_2D00_FMREP;XDOBIS05;25.12.2017;31.12.9999;;25.12.2017;12:28:59;0;;
400;ZGBI024_2D00_FMREP;XDOBMN01;30.05.2018;31.12.9999;;30.05.2018;15:33:07;0;;
400;ZGBI024_2D00_FMREP;XDOBSN04;25.12.2017;31.12.9999;;25.12.2017;12:29:17;0;;
400;ZGBI024_2D00_FMREP;XDOCAM;25.12.2017;31.12.9999;;25.12.2017;12:29:29;0;;
400;ZGBI024_2D00_FMREP;XDOCAS05;25.12.2017;31.12.9999;;27.12.2017;18:48:15;0;;
400;ZGBI024_2D00_FMREP;XDODDV03;25.12.2017;31.12.9999;;25.12.2017;12:29:50;0;;
400;ZGBI024_2D00_FMREP;XDODSM;25.12.2017;31.12.9999;;25.12.2017;12:29:56;0;;
400;ZGBI024_2D00_FMREP;XDOEAV06;30.05.2018;31.12.9999;;30.05.2018;15:33:15;0;;
400;ZGBI024_2D00_FMREP;XDOEIA01;25.12.2017;31.12.9999;;25.12.2017;12:30:03;0;;
400;ZGBI024_2D00_FMREP;XDOEVF;25.12.2017;31.12.9999;;25.12.2017;12:30:08;0;;
400;ZGBI024_2D00_FMREP;XDOEVY;25.12.2017;31.12.9999;;25.12.2017;12:30:10;0;;
400;ZGBI024_2D00_FMREP;XDOFDV01;25.12.2017;31.12.9999;;25.12.2017;12:30:11;0;;
400;ZGBI024_2D00_FMREP;XDOGES02;25.12.2017;31.12.9999;;25.12.2017;12:30:28;0;;
400;ZGBI024_2D00_FMREP;XDOGIG01;25.12.2017;31.12.9999;;25.12.2017;12:30:29;0;;
400;ZGBI024_2D00_FMREP;XDOGNG03;25.12.2017;31.12.9999;;27.12.2017;18:48:22;0;;
400;ZGBI024_2D00_FMREP;XDOGNI;25.12.2017;31.12.9999;;25.12.2017;12:30:39;0;;
400;ZGBI024_2D00_FMREP;XDOGNV09;25.12.2017;31.12.9999;;25.12.2017;12:30:42;0;;
400;ZGBI024_2D00_FMREP;XDOGRA02;20.02.2018;31.12.9999;;20.02.2018;14:57:57;0;;
400;ZGBI024_2D00_FMREP;XDOIEV04;25.12.2017;31.12.9999;;25.12.2017;12:30:52;0;;
400;ZGBI024_2D00_FMREP;XDOITD;30.05.2018;31.12.9999;;30.05.2018;15:33:24;0;;
400;ZGBI024_2D00_FMREP;XDOIYI;25.12.2017;31.12.9999;;25.12.2017;12:31:04;0;;
400;ZGBI024_2D00_FMREP;XDOKAA28;25.12.2017;31.12.9999;;25.12.2017;12:31:05;0;;
400;ZGBI024_2D00_FMREP;XDOKAA40;30.05.2018;31.12.9999;;30.05.2018;15:33:27;0;;
400;ZGBI024_2D00_FMREP;XDOKAD03;25.12.2017;31.12.9999;;25.12.2017;12:31:06;0;;
400;ZGBI024_2D00_FMREP;XDOKAI14;25.12.2017;31.12.9999;;25.12.2017;12:31:10;0;;
400;ZGBI024_2D00_FMREP;XDOKDA08;25.12.2017;31.12.9999;;25.12.2017;12:31:19;0;;
400;ZGBI024_2D00_FMREP;XDOKGI;25.12.2017;31.12.9999;;25.12.2017;12:31:38;0;;
400;ZGBI024_2D00_FMREP;XDOKIM01;25.12.2017;31.12.9999;;25.12.2017;12:31:41;0;;
400;ZGBI024_2D00_FMREP;XDOKIY;25.12.2017;31.12.9999;;27.12.2017;18:48:26;0;;
400;ZGBI024_2D00_FMREP;XDOKLI;25.12.2017;31.12.9999;;25.12.2017;12:31:45;0;;
400;ZGBI024_2D00_FMREP;XDOKLP01;25.12.2017;31.12.9999;;25.12.2017;12:31:49;0;;
400;ZGBI024_2D00_FMREP;XDOKMM01;25.12.2017;31.12.9999;;27.12.2017;18:48:30;0;;
400;ZGBI024_2D00_FMREP;XDOKMM03;25.12.2017;31.12.9999;;27.12.2017;18:48:32;0;;
400;ZGBI024_2D00_FMREP;XDOKMS02;25.12.2017;31.12.9999;;25.12.2017;12:31:56;0;;
400;ZGBI024_2D00_FMREP;XDOKMV24;25.12.2017;31.12.9999;;25.12.2017;12:31:58;0;;
400;ZGBI024_2D00_FMREP;XDOKNN09;15.02.2018;31.12.9999;;15.02.2018;11:38:13;0;;
400;ZGBI024_2D00_FMREP;XDOKNS03;25.12.2017;31.12.9999;;27.12.2017;18:48:35;0;;
400;ZGBI024_2D00_FMREP;XDOKNV16;25.12.2017;31.12.9999;;25.12.2017;12:32:07;0;;
400;ZGBI024_2D00_FMREP;XDOKOA16;25.12.2017;31.12.9999;;25.12.2017;12:32:11;0;;
400;ZGBI024_2D00_FMREP;XDOKOV22;25.12.2017;31.12.9999;;25.12.2017;12:32:13;0;;
400;ZGBI024_2D00_FMREP;XDOKVO;25.12.2017;31.12.9999;;25.12.2017;12:32:39;0;;
400;ZGBI024_2D00_FMREP;XDOKVV15;25.12.2017;31.12.9999;;25.12.2017;12:32:42;0;;
400;ZGBI024_2D00_FMREP;XDOKVV36;25.12.2017;31.12.9999;;11.04.2018;13:58:00;0;;
400;ZGBI024_2D00_FMREP;XDOLAV06;25.12.2017;31.12.9999;;25.12.2017;12:32:58;0;;
400;ZGBI024_2D00_FMREP;XDOLIA04;25.12.2017;31.12.9999;;25.12.2017;12:33:04;0;;
400;ZGBI024_2D00_FMREP;XDOMDV07;25.12.2017;31.12.9999;;25.12.2017;12:33:23;0;;
400;ZGBI024_2D00_FMREP;XDOMIF;25.12.2017;31.12.9999;;27.12.2017;18:48:41;0;;
400;ZGBI024_2D00_FMREP;XDOMIG;25.12.2017;31.12.9999;;27.12.2017;18:48:44;0;;
400;ZGBI024_2D00_FMREP;XDOMNM02;25.12.2017;31.12.9999;;25.12.2017;12:33:31;0;;
