Код транзакции;Текст;Направление
ZD_1SD0021_SD70AV1A;sd70av1a;УМиС
ZD_1SD0021_SD70AV3A;sd70av3a;УМиС
ZD_1SD0026_SIGN;Ведение таблицы ZT1SD0026_SIGN;УСМТР
ZD_1SD0063;Копирование файлов между ВХ и SAP CS;УМиС
ZD_1TE0007;#Н/Д;БД
ZD_1TE0023;Отчет просмотр ролей;NONE
ZD_1TE0026;Формирование индивидуальной заявки;NONE
ZD_AO_PRINT;Печатная форма авансового отчета;УСМТР
ZD_OTVHR;Поступление на ответств. хранение;УСМТР
ZD_VOSHR;Возврат с ответственного хранения;УСМТР
ZDEMAND;Отчет «Потребность в МТР»;УСМТР
ZME55;Деблокирование заявок;УСМТР
ZMM0148;Массовое деблокирование заказов;УСМТР
ZMV_ZZATR8;Ведение группировок РБП\ДБП;БНУ
ZP_1AA1005_LTRAT2;Ставки зем. налога с ОКТМО : ведение;БНУ
ZP_1AA1005_LTRATE;0030: Ставки зем. нал.: ведение;БНУ
ZPIR;Претензионно-исковая работа;ВД
ZPRINTEA;Вывод выходных документов: запросы;ВД
ZPROVZAK;Проведение закупочных процедур;УСМТР
ZR_1AA0185;Отчет Форма ИНВ-3;БНУ
ZR_1AA0246;Регистр основных средств;БНУ
ZR_1AA1011;Отчет по проведенной аморт.премии;БНУ
ZR_1AA1029;Отчет (PPE);БНУ
ZR_1BD0027;#Н/Д;БД
ZR_1BD0034;#Н/Д;БД
ZR_1BL0006;Акт инвентаризации;БНУ
ZR_1FI0014;Печать счетов-фактур;БНУ
ZR_1FI1050;Оборотно-сальдовая ведомость;БНУ
ZR_1FI1059;Выгрузка отчетов в Excel;БНУ
ZR_1FI1063;Отчет Карточка счета;БНУ
ZR_1GL1008_TAXVERIFY;Выверка данных НУ;БНУ
ZR_1IM0010;Отчет.Инвестиционные заявки. Критери;УИ
ZR_1IM0013_2D;Отчет по ранжированию ИПР для ТГК-1;УИ
ZR_1IM0016;Выходная форма паспорта проекта;УИ
ZR_1MM0028;Инвентаризационная опись ИНВ-3;БНУ
ZR_1MM0050;Формирование ГКПЗ;УСМТР
ZR_1MM0051;Загрузка плановых цен;УСМТР
ZR_1MM0054;Анализ заказов на поставку;УСМТР
ZR_1MM0085_ZAKTOP;Приход технологического топлива;УСМТР
ZR_1MM0093;Реестр прих. док. по тов-мат. ценн.;УСМТР
ZR_1MM0094;Реестр расх. док. по тов-мат. ценн.;УСМТР
ZR_1MM0100_MB52;Ведомость складских запасов;УСМТР
ZR_1MM0122;Реестр переходящих договоров;УСМТР
ZR_1MM0123;Сводный отчет по переходящим договор;УСМТР
ZR_1MM0152;Отчет использования ТМЦ;УСМТР
ZR_1MM0155_NEW;Неликвиды;УСМТР
ZR_1MM0159;Аварийный и неснижаемый запас;УСМТР
ZR_1MM0164_MAT;Печатная форма  Материальный ярлык;УСМТР
ZR_1MM0176;Добавление позиций в запрос (предл);УСМТР
ZR_1MM0185;Отчет по анализу запасов/движ. матер;УСМТР
ZR_1PM0012;Отчет по перечню материалов;ТОиР
ZR_1PM0013;Транзакция для отчета PM0013;ТОиР
ZR_1PM0023;Форма Наряд-допуск;ТОиР
ZR_1PM0024;Отчет Сменное задание;ТОиР
ZR_1PM0025;Выгрузка тех.карт ТОРО в Excel;ТОиР
ZR_1PM0029;Ведомость фактического учета времени;ТОиР
ZR_1PM0060;Массовая обработка МТР;ТОиР
ZR_1PS0003;Расшифровка сальдо сч.08 по проектам;УИ
ZR_1PS0005;Отчет по НКС / ОС;УИ
ZR_1SD0009_AKT;Массовая печать актов об оказ. услуг;УМиС
ZR_1SD0025;Массовая загрузка данных ОРЭМ и РР;УМиС
ZR_1SD0028;Анализ заказов;УМиС
ZR_1SD0028O;Анализ торговых документов;УМиС
ZR_1SD0029;Анализ фактур;УМиС
ZR_1SD0030;Анализ поставок;УМиС
ZR_1SD0070;Сопр-е письма по договорам ОРЭМ;УМиС
ZR_1TE0017;Исправления ФС;NONE
ZR_4PM0001;Отчет Перспективный план ремонта;ТОиР
ZR_4RM0003;Отчет о состоянии договорн. деятельн;ВД
ZR_4RM0004;Прохождение дог. в ЦО и согл. подраз;ВД
ZR_4RM0005;Прохождение дог. в струк. подразделе;ВД
ZR_4RM0006;Сумм. догов. по контр. /напр. затрат;ВД
ZR_4RM0010;Проверки, провод контрол и надзор ор;ВД
ZR_MM0010_RASPR;Распределение по напр. закупки;УСМТР
ZR_OPEN_CASE;#Н/Д;БД
ZR_PMSQ0002;Отчет по материалам для ТОРО;ТОиР
ZR_PMSQ0004;Отчет по услугам в заказах ТОРО;ТОиР
ZREG_AVIZO;Реестр Авизо;УФ
ZREG_BDDS_CONTROL;Отчет по исполнению БДДС;УФ
ZREG_CLM7_TO_EXCEL;Общее количество исков;ВД
ZREG_CREA_REQ3;Создание заявок на оплату;УФ
ZREG_FDM_COLL01;Контроль дебиторской задолженности;УФ
ZREG_HBKID;Список банковских счетов;УФ
ZREG_ISL6_1_TO_EXCEL;Реестр задолжн.в отношении должников;ВД
ZREG_ISL6_TO_EXCEL;Реестр исполнительных листов;ВД
ZREG_LAC_TO_EXCEL;Информация об общем количестве исков;ВД
ZREG_LAC2_TO_EXCEL;Информация о судебной работе;ВД
ZREG_LAC3_TO_EXCEL;Судебные разбирательства с налоговым;ВД
ZREG_LAC4_TO_EXCEL;Инф. о пост. гос. орг. о призн. Общ.;ВД
ZREG_MASSPROC_PAY;Массовая обработка оплат;УФ
ZREG_REESTR_AGR;Реестр договоров;ВД
ZREG_REESTR_AGR_CHA;Реестр договоров и доп. соглашений;ВД
ZREG_REESTR_CBL;Реестр заявок на корректировку лимит;УФ
ZREG_REESTR_CHA_AGR;Реестр договоров и доп. соглашений;УФ
ZREG_REESTR_COD;Реестр зачетов взаимных требований;УФ
ZREG_REQ_LIST;Реестр заявок на оплату;УФ
ZREG_REQ_PAS;Отчет по позициям ЗНО;УФ
ZREG_SD_CONTR_VIEW;Список контрактов;ВД
ZREG_TSALDO;Остатки по р/сч;УФ
ZREG_UPLOAD_REQ;Загрузка карточек ЗНО из Excel.;УФ
ZREG_WF_MON;Монитор согласований;ВД
ZREG_WF_MON1;Монитор согласований;ВД
ZREG_WF_MON2;Монитор сроков согласования дог-ов;ВД
ZREG_WF_MON3;Среднее арифметическое сроков соглас;ВД
ZREG_WF_MON4;Монитор сроков согласования договор.;ВД
ZREP_DTKT_OGK;Отчет по Дебиторам и Кредиторам ОГК;БНУ
ZREP_DTKT_OGK_NEW;Отчет по Дебиторам и Кредиторам 2015;БНУ
