ПФМ;Название;4;5
D29109;Метролог(СДТУиИТ);;
D29110;СбытТЭ(СДТУиИТ);;
D29111;СбытЭЭ(СДТУиИТ);;
D29112;КорпЗащит(СДТУиИТ);;
D29113;ОплТруда(СДТУиИТ);;
D29114;ПодгКадр(СДТУиИТ);;
D29115;Соц-труд(СДТУиИТ);;
D29116;Ресурсооб(СДТУиИТ);;
D29117;СкладЛог(СДТУиИТ);;
D29118;Транспорт(СДТУиИТ);;
D29119;Эконом. (СДТУиИТ);;
D29120;УпрИмущ(СДТУиИТ);;
D29121;Финансы(СДТУиИТ);;
D29122;Бухгалт.(СДТУиИТ);;
D29123;Развитие(СДТУиИТ);;
D29124;КапСтрой(СДТУиИТ);;
D29125;Тех(СДТУиИТ);;
D300;Упр.фил. Карельский;;
D30001;Апп. ГД(Карельский);;
D30002;ПравВопр(Карельский);;
D30003;СвязОбщ.(Карельский);;
D30004;АдмСерв(Карельский);;
D30005;ГО и ЧС(Карельский);;
D30006;Ремонт.(Карельский);;
D30007;Эксплуат.(Карельский;;
D30008;Произв.(Карельский);;
D30009;Метролог(Карельский);;
D30010;СбытТЭ(Карельский);;
D30011;СбытЭЭ(Карельский);;
D30012;КорпЗащит(Карельский;;
D30013;ОплТруда(Карельский);;
D30014;ПодгКадр(Карельский);;
D30015;Соц-труд(Карельский);;
D30016;Ресурсооб(Карельский;;
D30017;СкладЛог(Карельский);;
D30018;Транспорт(Карельский;;
D30019;Эконом. (Карельский);;
D30020;УпрИмущ(Карельский);;
D30021;Финансы(Карельский);;
D30022;Бухгалт.(Карельский);;
D30023;Развитие(Карельский);;
D30024;КапСтрой(Карельский);;
D30025;Тех(Карельский);;
D330;ВыгскихГЭС;;
D33001;Апп. ГД(ВыгскихГЭС);;
D33002;ПравВопр(ВыгскихГЭС);;
D33003;СвязОбщ.(ВыгскихГЭС);;
D33004;АдмСерв(ВыгскихГЭС);;
D33005;ГО и ЧС(ВыгскихГЭС);;
D33006;Ремонт.(ВыгскихГЭС);;
D33007;Эксплуат.(ВыгскихГЭС;;
D33008;Произв.(ВыгскихГЭС);;
D33009;Метролог(ВыгскихГЭС);;
D33010;СбытТЭ(ВыгскихГЭС);;
D33011;СбытЭЭ(ВыгскихГЭС);;
D33012;КорпЗащит(ВыгскихГЭС;;
D33013;ОплТруда(ВыгскихГЭС);;
D33014;ПодгКадр(ВыгскихГЭС);;
D33015;Соц-труд(ВыгскихГЭС);;
D33016;Ресурсооб(ВыгскихГЭС;;
D33017;СкладЛог(ВыгскихГЭС);;
D33018;Транспорт(ВыгскихГЭС;;
D33019;Эконом. (ВыгскихГЭС);;
D33020;УпрИмущ(ВыгскихГЭС);;
D33021;Финансы(ВыгскихГЭС);;
D33022;Бухгалт.(ВыгскихГЭС);;
D33023;Развитие(ВыгскихГЭС);;
D33024;КапСтрой(ВыгскихГЭС);;
D33025;Тех(ВыгскихГЭС);;
D340;Кемск.ГЭС;;
D34001;Апп. ГД(Кемск.ГЭС);;
D34002;ПравВопр(Кемск.ГЭС);;
D34003;СвязОбщ.(Кемск.ГЭС);;
D34004;АдмСерв(Кемск.ГЭС);;
D34005;ГО и ЧС(Кемск.ГЭС);;
D34006;Ремонт.(Кемск.ГЭС);;
D34007;Эксплуат.(Кемск.ГЭС);;
D34008;Произв.(Кемск.ГЭС);;
D34009;Метролог(Кемск.ГЭС);;
D34010;СбытТЭ(Кемск.ГЭС);;
D34011;СбытЭЭ(Кемск.ГЭС);;
D34012;КорпЗащит(Кемск.ГЭС);;
D34013;ОплТруда(Кемск.ГЭС);;
D34014;ПодгКадр(Кемск.ГЭС);;
D34015;Соц-труд(Кемск.ГЭС);;
D34016;Ресурсооб(Кемск.ГЭС);;
D34017;СкладЛог(Кемск.ГЭС);;
D34018;Транспорт(Кемск.ГЭС);;
D34019;Эконом. (Кемск.ГЭС);;
D34020;УпрИмущ(Кемск.ГЭС);;
D34021;Финансы(Кемск.ГЭС);;
D34022;Бухгалт.(Кемск.ГЭС);;
D34023;Развитие(Кемск.ГЭС);;
D34024;КапСтрой(Кемск.ГЭС);;
