МВЗ;Название SAP (40 символов);Название вне SAP (полное);МВП
D222330900;ТЭЦ22Южн-УслПолиРасп; Услуги полиграфии РАСПРЕД  Южная ТЭЦ-22;D222
D222331100;ТЭЦ22Южн-АТЦ СЗ Расп;Автотранспортный участок Южная ТЭЦ-22 - СЗ (РАСПРЕД);D222
D222331200;ТЭЦ22Южн-АРС;Аварийно-ремонтная служба (АРС);D222
D222331400;ТЭЦ22Южн-УслСбстРспр;Услуги собственные распределяемые;D222
D222540000;ТЭЦ22Южн-ОПР;Общепроизводственные Южная ТЭЦ-22;D222
D222650100;ТЭЦ22Южн-УпрТЭС;Руководство  Южная ТЭЦ-22;D222
D222870100;ТЭЦ22Южн-ОКС;Группа КС  Южная ТЭЦ-22;D222
D222960500;ТЭЦ22Южн-Об.питание;Общественное питание;D222
D210020002;ГЭС10Лес-ОГ-01 НМ;ОГ№1 НМ ГЭС-10 Лесогорская;D230
D210020102;ГЭС10Лес-ОГ-02 НМ;ОГ№2 НМ ГЭС-10 Лесогорская;D230
D210020202;ГЭС10Лес-ОГ-03 НМ;ОГ№3 НМ ГЭС-10 Лесогорская;D230
D210020302;ГЭС10Лес-ОГ-04 НМ;ОГ№4 НМ ГЭС-10 Лесогорская;D230
D210201102;ГЭС10Лес-ГЭС НМ; ГЭС-10 НМ  Лесогорская;D230
D210201112;ГЭС10Лес-ГЭС НМ Хоз; Затраты на ремонт хозяйственным способом ГЭС-10 НМ  Лесогорская  ;D230
D210212100;ГЭС10Лес-ТехПрис.ЭС;Тех.присоединения к эл. Сетям;D230
D211020002;ГЭС11Све-ОГ-01 НМ;ОГ№1 НМ ГЭС-11 Светогорская;D230
D211020102;ГЭС11Све-ОГ-02 НМ;ОГ№2  НМ ГЭС-11 Светогорская;D230
D211020202;ГЭС11Све-ОГ-03 НМ;ОГ№3  НМ ГЭС-11 Светогорская;D230
D211020302;ГЭС11Све-ОГ-04 НМ;ОГ№4  НМ ГЭС-11 Светогорская;D230
D211201102;ГЭС11Све-ГЭС НМ;ГЭС-11 НМ Светогорская;D230
D211201112;ГЭС11Све-ГЭС НМ Хоз;Затраты на ремонт хозяйственным способом ГЭС-11 НМ Светогорская ;D230
D211212100;ГЭС11Све-ТехПрис.ЭС;Тех.присоединения к эл. Сетям;D230
D230330000;КдВуокси-АТЦ;Автотранспортный участок Каскад-1   Вуоксинских ГЭС;D230
D230330010;КдВуокси-АТЦ Хоз;Затраты на ремонт хозяйственным способом Автотранспортный участок Каскад-1  ;D230
D230330100;КдВуокси-АТЦ СЗ;Автотранспортный участок Каскад-1   Вуоксинских ГЭС - СЗ;D230
D230330200;КдВуокси-Услуги САТ;Услуги собственного автотранспорта Каскад-1   Вуоксинских ГЭС;D230
